video_id,title,description,published_at,view_count,like_count,comment_count,duration
-7Gu9dBi-UE,Nicky B Fly | Bomaye | Coke Studio,"Experience the performance of ""Bomaye"" by Nicky B Fly at the CokeStudio Soundcheck Workshop in Switzerland. #RealMagic #CokeStudio #CokeSwitzerland.

https://coke.com/cokestudio 
https://Instagram.com/cocacola 
https://Twitter.com/cocacola
https://Facebook.com/cocacola

https://YouTube.com/@NickyBFly
https://Instagram.com/nickybfly",2023-09-08T12:06:35Z,4024,66,2,PT2M23S
9-SNSILpUVs,ძაბვა X ალექსანდრე სანიკიძე | ჩვენი შეხვედრის დროც დადგა | Coke Studio,"მოემზადე Coke Studio-ს შემდეგი ჰიტისთვის 🎼 ბენდი ძაბვა X ალექსანდრე სანიკიძე, სიმღერით ""ჩვენი შეხვედრის დროც დადგა"" 🥂
 
სიმღერის სრული ვერსია, სულ მალე ჩვენს არხზე 🤩
 
🎼 მიიღე ჯადოსნური მუსიკალური გამოცდილება",2023-09-08T11:24:16Z,469421,24,2,PT34S
nIAGla1VgBM,Naveni | Biting These Bullets | Coke Studio,"22 year old British-Indian Naveni, is a talented neo/soul-pop singer and songwriter from Switzerland. Step into the mesmerizing world of Naveni as she delivers a captivating performance of ""Biting These Bullets"" during the CokeStudio Soundcheck Workshop. #RealMagic #CokeStudio #CokeSwitzerland. 

https://coke.com/cokestudio  
Instagram.com/cocacola  
twitter.com/cocacola 
facebook.com/cocacola 

https://naveni.ch 
YouTube.com/@naveni 
Instagram.com/naveni.artist 
TikTok.com/naveni.artist 

Growing up in Biel (Switzerland), Naveni was surrounded by music from a young age. She began singing with her younger sister before eventually taking up music production and writing her own songs. In 2022, Naveni released her debut album “for a split second” which quickly gained the attention of music critics and fans alike. Her album, which was self-made including mix and mastering, showcased her song writing, music production and vocal abilities and set the stage for her future success.",2023-09-07T11:37:37Z,3132,48,2,PT3M27S
ShLA67juWu0,mor ve ötesi x Aleyna Tilki I Yaz Yaz Yaz I Coke Studio,mor ve ötesi x Aleyna Tilki’den Yaz Yaz Yaz şimdi sadece Coke Studio’da. #CokeStudio #GerçekMucize,2023-09-06T11:17:57Z,11868,405,13,PT15S
8XSnSlxlfpA,Sefo x Simge Sağın I Görmem Böylesini I Coke Studio,Geçer mi sandın? Simge ve Sefo’nun yeni şarkısını dinlemeden karar verme. #CokeStudio #GerçekMucize,2023-09-06T11:12:10Z,26921,742,24,PT15S
GmRnZgtE3_Y,Adriel Favela x BaianaSystem | LUCRO| Coke Studio,"Taste Coke Studio’s new drop, a collision by Adriel Favela and BaianaSystem, performing Baiana System song ""LUCRO"". #CokeStudio #RealMagic 

https://www.coca-cola.com/br/pt/offerings/coke-studio https://www.instagram.com/cocacola_br/
https://twitter.com/CocaCola_Br

https://www.coca-cola.com/mx/es/offerings/coke-studio https://www.instagram.com/cocacolamx/
https://twitter.com/CocaColaMx

FOLLOW BAIANASYSTEM
TikTok: https://www.tiktok.com/@baianasystem 
Instagram: https://www.instagram.com/baianasystem/ 
Twitter: https://twitter.com/baianasystem 
YouTube: https://www.youtube.com/@baianasystem

FOLLOW ADRIEL FAVELA:
TikTok: https://www.tiktok.com/@adrielfavela 
Instagram: https://www.instagram.com/adrielfavela/
Twitter: https://twitter.com/adriel_favela
YouTube: https://www.youtube.com/@AdrielFavelaofficial

Adriel Favela: Mexican singer, songwriter, and multi-instrumentalist; a figure in the Norteño regional genre. He is currently one of the best exponents of Norteño music. Favela has his own label, Esperanto Music Group, in partnership with Fonovisa, with the aim of supporting new talents in the Mexican regional genre.

BaianaSystem: Known for the imagetic and symbolic power of his live performances, the group has received numerous awards for best show in Brazil, ""Group of the Year"" by votes of the most important newspapers and specialized publications, and had his music used for movie soundtracks, soap opera openings, and commercials for Apple, Google, Riot, and his connection with the soundtracks of video games, series, and movies.",2023-09-05T18:47:18Z,2523134,6289,167,PT3M45S
sLBID2WhA9M,BaianaSystem x Adriel Favela | MI OTRO YO | Coke Studio,"Taste Coke Studio’s new drop, a collision by BaianaSystem and Adriel Favela, performing Adriel Favela song ""MI OTRO YO"". #CokeStudio #RealMagic

https://www.coca-cola.com/br/pt/offerings/coke-studio https://www.instagram.com/cocacola_br/ 
https://twitter.com/CocaCola_Br 

https://www.coca-cola.com/mx/es/offerings/coke-studio 
https://www.instagram.com/cocacolamx/ 
https://twitter.com/CocaColaMx 

FOLLOW BAIANASYSTEM: 
TikTok: https://www.tiktok.com/@baianasystem 
Instagram: https://www.instagram.com/baianasystem/ 
Twitter: https://twitter.com/baianasystem 
YouTube: https://www.youtube.com/@baianasystem 

FOLLOW ADRIEL FAVELA: 
TikTok: https://www.tiktok.com/@adrielfavela 
Instagram: https://www.instagram.com/adrielfavela/ 
Twitter: https://twitter.com/adriel_favela 
YouTube: https://www.youtube.com/@AdrielFavelaofficial

BaianaSystem: Known for the imagetic and symbolic power of his live performances, the group has received numerous awards for best show in Brazil, ""Group of the Year"" by votes of the most important newspapers and specialized publications, and had his music used for movie soundtracks, soap opera openings, and commercials for Apple, Google, Riot, and his connection with the soundtracks of video games, series, and movies.

Adriel Favela: Mexican singer, songwriter, and multi-instrumentalist; a figure in the Norteño regional genre. He is currently one of the best exponents of Norteño music. Favela has his own label, Esperanto Music Group, in partnership with Fonovisa, with the aim of supporting new talents in the Mexican regional genre.",2023-09-05T18:41:25Z,369208,511,22,PT2M39S
uemO-Tk-6zw,Opération Zéro | Capitaine | Coke Studio,"Dive into the enchanting world of Operation Zéro as they unleash their dynamic performance of ""Capitaine"" at the Coke Studio Soundcheck Workshop in Switzerland. #RealMagic #CokeStudio #CokeSwitzerland

https://coke.com/cokestudio 
Instagram /cocacola 
Twitter /cocacola
Facebook /cocacola

Instagram /operationzero_official

The three friends from Opération Zéro, Malick, Jay and Kali (among others producer of Maître Gims, Stress) have been working on sweaty live shows and the unique sound of eternal vacations in Swiss german and French since their youth. With the EP ""Uszyt"" they combined the vibes and message of a hot summer, with ""Immer"" and ""Rosé"" they conquered the radios for the first time. The new EP ""Wo mir de härägö"" heralds this summer with big sentiments, afrobeats and urban pop.

Lyrics:
Dis lächle 50 shades
Wöu aui sy gfesslet
Ha lang uf d vernunft glost doch
Mis herz weisses besser
Si läbe au die stories
Wo du ihne verzeusch
Ja die frou di het looks
U die frou die het seu
Isch es doof doof doof cha ja sy
I nenne di scho hajati
Mini bros bros bros sy derbi
U sy fyyrä di scho meh aus mi

Du bisch ds erst mau im quartier, und scho ize navigiersch,
Du bisch dqueen dervo, ds gfüu im buch isch lo lo lo

I kenne di sit kurzem
Doch du hesch überno
Du bisch capitaine
De mon vesseau

I bi nur churz i kiosk, aber der Samir fragt iz no
Du die, vo denn, wieso hesch du si nid nomau mitgno,
Er redt vo attitude, i schetze dini gratitude
Du nimmsch mini finke bim erste mau, direkt habitude
De gruch vom café wo du machsch macht immer aues wieder guet
Mit der fam am charboner du bisch der windstoss i mire gluet",2023-09-05T09:08:12Z,1131,24,0,PT3M22S
ghmc_x7loEg,The Generations X ნინა სუბლატი | Viola | Coke Studio,"მზად ხარ ახალი ჰიტის ასაკვიატებლად? მოუსმინე The Generations & Nina Sublat-ს, სიმღერით Viola 🎻 და ისიამოვნე.

🎼 მიიღე ჯადოსნური მუსიკალური გამოცდილება",2023-09-04T09:24:14Z,377104,241,16,PT3M35S
5ygLcFVCMNI,Coca-Cola Music Experience 2023 |Highlights of day 2,,2023-09-04T08:00:53Z,2455,50,1,PT47S
3H5gW3iCalc,Coca-Cola Music Experience 2023 | Highlights of day 1,,2023-09-02T16:36:13Z,4395,72,0,PT49S
egVooNaX9P4,The Generations X ნინა სუბლატი | Viola | Coke Studio,"მზად ხარ ახალი ჰიტის ასაკვიატებლად? მოუსმინე The Generations & Nina Sublat-ს, სიმღერით Viola 🎻 და ისიამოვნე.

🎼 მიიღე ჯადოსნური მუსიკალური გამოცდილება",2023-09-01T14:59:04Z,260142,69,9,PT31S
e9Sy_TVUSlE,Camilo x Diljit Dosanjh | Palpita | Coke Studio,"Taste Coke Studio’s new drop, a collision session featuring Camilo x Diljit Dosanjh for the first ever performance of ""Palpita"". 
#CokeStudio #RealMagic

https://coke.com/cokestudio 
https://www.instagram.com/cocacola/ 
https://twitter.com/CocaCola 
https://www.facebook.com/cocacola

Listen to “Palpita” on your favorite platform:
https://SML.lnk.to/Palpita

FOLLOW CAMILO
Instagram: https://www.instagram.com/camilo
TikTok: https://www.tiktok.com/@camilo
Facebook: https://www.facebook.com/camilomusica
Twitter: https://twitter.com/camilomusica

FOLLOW DILJIT DOSANJH 
Instagram: https://www.instagram.com/diljitdosanjh
Twitter: https://twitter.com/diljitdosanjh
Facebook: https://www.facebook.com/DiljitDosanjh

Lyricist: Indrr Bajwa",2023-08-31T04:01:20Z,16148698,121727,3326,PT2M42S
rKpFScHXJoM,Coke Studio | Norway | Secret Sessions | Episode 2,"Gira på en ny runde av Coke Studio Secret Sessions™? 🔥🎶 Bli med på en magisk konsertopplevelse med fete artister på hemmelig lokasjon i Oslo. Hillari er en av dem - og ser du hele episoden finner du kanskje ut hvem som er årets headliner også? ✨ 

Last ned Coca-Cola appen for å vinne billetter: https://stories.onelink.me/YCoa/shp5z26x 
Hør mer av Hillari sin musikk her: https://open.spotify.com/artist/1bEzbwo8LkrDN0imp4dkEM?si=QQNRtCFdTs6Fw_nbDnFWVA",2023-08-29T13:42:41Z,1863,12,1,PT7M57S
YsQwJWtJcGc,ანანო სიხარულიძე X JustQuartet | RocknRolla | Coke Studio,"Coke Studio-სთვის შექმნილი კიდევ ერთი მხიარული ჰიტი “RocknRolla”🎻 მოისმინე და დატკბი ზაფხულის ბოლო დღეებით 🌞

🎼 მიიღე ჯადოსნური მუსიკალური გამოცდილება",2023-08-25T16:02:07Z,160818,67,7,PT3M18S
9W5GZtsUzM4,XIN LIU x Ofenbach | REAL LIFE (Ofenbach Remix) | Coke Studio,"Taste Coke Studio’s new drop, a collision session featuring XIN LIU and Ofenbach for the first ever performance of  ""REAL LIFE (Ofenbach Remix)"". 
#CokeStudio #RealMagic

https://coke.com/cokestudio 
https://www.instagram.com/cocacola/ 
https://twitter.com/CocaCola 
https://www.facebook.com/cocacola

https://www.instagram.com/lyx0420/ 
https://www.youtube.com/@xinliu420/
https://weibo.com/u/5873553397
https://v.douyin.com/iJH1BW9k/

https://www.instagram.com/ofenbachmusic/ 
https://www.tiktok.com/@ofenbach?lang=en 
https://www.youtube.com/@ofenbachmusic 
https://www.facebook.com/weareofenbach/?locale=en_GB 
http://www.weareofenbach.com/ 

XIN LIU is the Official Spokesperson for China Coke Studio. She is the youngest and most influential singer, producer, and fashion icon in China, as well as a professional street dancer. In 2020, she participated in the second season of the Chinese reality show ""Youth With You"" and debuted as the first place winner and overseas popular champion. She was also named by Forbes China’s Under 30 elites. In 2021, she released her EP, which sold a total sales of 54 million CNY worldwide and won the place of global album sales Top 1. In 2022, she became the first female captain in the history of the Chinese dance competition show ""Street Dance of China"" as a mentor. XIN LIU's musical works won her the ""Most Influential Female Artist in China of the Year"" and ""New Power Producer of the Year"" awards on China's largest music platform (Tencent Music Entertainment) in 2023. Her XANADU TOUR 2023 in China will also take place this year. She is the most influential musical force and young role model in China and is deeply loved by globally renowned brands and Chinese media.

Ofenbach is today the most streamed French duo/band in the world. With 2 Diamond, 22 Platinum and 21 Gold certifications, they’re young and at the beginning of a long and successful career. More than 2.5 Billion streams and 500K followers on Youtube are just a few of the incredible numbers that sum up the Parisian dance duo Ofenbach (Dorian & César). Being on stage is their playground and touring the world their day-to-day lifestyle. They’ve already performed more than 250 shows with 3 European tours, 2 US tours and 1 Asian tour. In 2022, after a 50+ date summer tour, Ofenbach are back with a new single “LOVE ME NOW”. The track features Fast Boy, a new trendy dance duo from Berlin (created in 2021 and already platinum/diamond certified). 

© 2023 Universal Music China",2023-08-23T12:00:03Z,1077636,7463,1062,PT2M50S
